component,explained_variance_ratio,cumulative_variance_ratio
129,0.0016491105743049435,0.6969445107648856
130,0.001638534261292935,0.6985830450261785
131,0.0016104440960284711,0.700193489122207
132,0.0015966385999615302,0.7017901277221685
133,0.0015860132141816304,0.7033761409363501
134,0.0015684521436542132,0.7049445930800043
135,0.0015559337653303336,0.7065005268453347
136,0.0015434427130064149,0.7080439695583411
137,0.0015268328371056397,0.7095708023954468
138,0.0015199602034620086,0.7110907625989088
139,0.0015035472018815129,0.7125943098007903
140,0.001489268323109554,0.7140835781238999
141,0.0014866135521385136,0.7155701916760384
142,0.0014727551065756724,0.717042946782614
143,0.0014626534398392529,0.7185056002224532
144,0.001449614950128469,0.7199552151725818
145,0.0014377721798839588,0.7213929873524657
146,0.0014194095443931434,0.7228123968968588
147,0.0014080633231366858,0.7242204602199955
148,0.001397472291803205,0.7256179325117987
149,0.0013905149519962028,0.7270084474637949
150,0.0013802041467207073,0.7283886516105156
151,0.0013677066532181072,0.7297563582637336
152,0.001353400553049205,0.7311097588167829
153,0.0013429258961662406,0.7324526847129491
154,0.001328328306729103,0.7337810130196782
155,0.0013232622645208095,0.7351042752841991
156,0.0013112350388616836,0.7364155103230607
157,0.001307041361973823,0.7377225516850345
158,0.0012978125114176872,0.7390203641964522
159,0.0012879940786818215,0.7403083582751341
160,0.0012800818132314945,0.7415884400883656
161,0.0012609445878620801,0.7428493846762276
162,0.0012591865749102499,0.7441085712511378
163,0.0012510178555355347,0.7453595891066733
164,0.0012435228367808548,0.7466031119434542
165,0.0012366992324059245,0.7478398111758601
166,0.0012254716400457433,0.7490652828159058
167,0.0012134136736313712,0.7502786964895372
168,0.0012048406677154099,0.7514835371572526
169,0.0012021491472494449,0.752685686304502
170,0.0011947979668787499,0.7538804842713808
171,0.0011854170975338994,0.7550659013689147
172,0.0011741238895156508,0.7562400252584304
173,0.0011653482072010587,0.7574053734656314
174,0.0011464058760336,0.7585517793416651
175,0.0011422964633817135,0.7596940758050468
176,0.001132796660701617,0.7608268724657484
177,0.001129689681562201,0.7619565621473107
178,0.0011196673659274058,0.7630762295132381
179,0.0011076928918782485,0.7641839224051163
180,0.0010984881316754872,0.7652824105367918
181,0.0010952120263634949,0.7663776225631553
182,0.001089792100647951,0.7674674146638033
183,0.0010782433101348278,0.7685456579739381
184,0.0010723916208889455,0.769618049594827
185,0.0010670722008183679,0.7706851217956454
186,0.0010625529876076918,0.7717476747832531
187,0.0010512455273327139,0.7727989203105858
188,0.0010396884156774159,0.7738386087262632
189,0.0010360793819871547,0.7748746881082503
190,0.0010288757651734772,0.7759035638734239
191,0.001016706839896815,0.7769202707133207
192,0.0010092224138283645,0.7779294931271491
193,0.0010051175191689958,0.7789346106463181
194,0.001002478283241265,0.7799370889295594
195,0.000986072109851834,0.7809231610394112
196,0.0009807339975595603,0.7819038950369708
197,0.0009738477045092039,0.78287774274148
198,0.0009698887270545494,0.7838476314685345
199,0.0009634911286195664,0.7848111225971541
200,0.0009596305035378081,0.7857707531006919
201,0.0009540475501106035,0.7867248006508025
202,0.0009446346300611381,0.7876694352808636
203,0.0009395061314347448,0.7886089414122984
204,0.0009319244849749192,0.7895408658972733
205,0.0009247536817927425,0.7904656195790661
206,0.0009179724355934838,0.7913835920146596
207,0.0009175947067280556,0.7923011867213876
208,0.0009082834064905956,0.7932094701278782
209,0.0009014171428439413,0.7941108872707222
210,0.0008961844356183612,0.7950070717063406
211,0.0008945605828602239,0.7959016322892007
212,0.0008917149075030179,0.7967933471967038
213,0.0008826047678592571,0.7976759519645631
214,0.0008790458269053018,0.7985549977914684
215,0.000871665018987097,0.7994266628104555
216,0.000866589908688634,0.8002932527191441
217,0.0008613173787507144,0.8011545700978948
218,0.0008584171071829054,0.8020129872050777
219,0.0008553947865343075,0.802868381991612
220,0.0008534640139624526,0.8037218460055745
221,0.0008409736788451673,0.8045628196844197
222,0.0008337678988630905,0.8053965875832828
223,0.000830906568107395,0.8062274941513902
224,0.0008269093349885203,0.8070544034863787
225,0.0008216699096994598,0.8078760733960781
226,0.0008189987819077645,0.8086950721779859
227,0.0008167476368747526,0.8095118198148606
228,0.0008083762204206175,0.8103201960352813
229,0.0008045513257094734,0.8111247473609907
230,0.0008027211591279502,0.8119274685201187
