component,explained_variance_ratio,cumulative_variance_ratio
56,0.003476845070620195,0.5213807570549396
57,0.003405108362587154,0.5247858654175267
58,0.0033589275430628467,0.5281447929605896
59,0.0033393309386076666,0.5314841238991973
60,0.0032676677307103053,0.5347517916299076
61,0.003217259584186279,0.5379690512140939
62,0.003197124315911328,0.5411661755300052
63,0.003186822953026361,0.5443529984830316
64,0.0031518868039997665,0.5475048852870315
65,0.0030770503234929937,0.5505819356105245
66,0.003014749134114771,0.5535966847446393
67,0.003000340008501585,0.5565970247531409
68,0.0029463461177358405,0.5595433708708767
69,0.002907058023416232,0.562450428894293
70,0.002872764036871413,0.5653231929311644
71,0.0028374642316269516,0.5681606571627913
72,0.002785652492100204,0.5709463096548915
73,0.0027559013866275965,0.5737022110415191
74,0.0027391015443087464,0.5764413125858279
75,0.0026637502778005355,0.5791050628636284
76,0.002643770556879194,0.5817488334205075
77,0.0026234234775517236,0.5843722568980593
78,0.0025968313382380916,0.5869690882362973
79,0.0025613297334671236,0.5895304179697645
80,0.0025516483761924497,0.592082066345957
81,0.002533073024381548,0.5946151393703385
82,0.0025043797742600564,0.5971195191445986
83,0.0024859928410594086,0.599605511985658
84,0.0024396987007088526,0.6020452106863668
85,0.0024308821109112607,0.6044760927972781
86,0.0023980898617484967,0.6068741826590266
87,0.00234180485926205,0.6092159875182886
88,0.002327246097373691,0.6115432336156623
89,0.002321829535298477,0.6138650631509608
90,0.0023063605045082897,0.6161714236554691
91,0.0022565271271375214,0.6184279507826066
92,0.002250285927621103,0.6206782367102277
93,0.0022225798926624185,0.6229008166028901
94,0.002204141375801835,0.6251049579786919
95,0.0021943403454246107,0.6272992983241166
96,0.002163560571897666,0.6294628588960143
97,0.0021249559815354297,0.6315878148775497
98,0.0021091347564213595,0.633696949633971
99,0.002102821252060199,0.6357997708860312
100,0.0020840130784964286,0.6378837839645277
101,0.0020568602073015485,0.6399406441718293
102,0.0020406040241869776,0.6419812481960162
103,0.0020244623599626464,0.6440057105559789
104,0.0020150562686019084,0.6460207668245808
105,0.0020061967734121065,0.6480269635979928
106,0.0019847898565663324,0.6500117534545592
107,0.0019763859320746863,0.6519881393866339
108,0.0019412153607463786,0.6539293547473803
109,0.0019195217012188282,0.6558488764485991
110,0.001907716955716604,0.6577565934043157
111,0.0018968678593226827,0.6596534612636383
112,0.0018797672591269786,0.6615332285227653
113,0.0018675357135854052,0.6634007642363507
114,0.001843551307979442,0.6652443155443302
115,0.0018241659337110748,0.6670684814780412
116,0.0018159156280741667,0.6688843971061154
117,0.0017859974304031336,0.6706703945365184
118,0.0017786091190117972,0.6724490036555303
119,0.001761633388218025,0.6742106370437483
120,0.0017528253180551126,0.6759634623618034
121,0.0017465371969532918,0.6777099995587567
122,0.0017404583307040046,0.6794504578894607
123,0.0017277664166658504,0.6811782243061265
124,0.001706143974253502,0.68288436828038
125,0.001697583948053332,0.6845819522284333
126,0.0016763767313175307,0.6862583289597508
127,0.0016720640602950424,0.6879303930200459
128,0.0016483005602083757,0.6895786935802543
129,0.0016355908151129668,0.6912142843953673
130,0.0016254399965478805,0.6928397243919151
131,0.0015998464887062138,0.6944395708806214
132,0.0015832186511063491,0.6960227895317277
133,0.0015730228362417966,0.6975958123679695
134,0.0015561991586661445,0.6991520115266356
135,0.001544702864364437,0.7006967143910001
136,0.0015297655439737339,0.7022264799349739
137,0.0015186725373379938,0.7037451524723118
138,0.0015112225801879433,0.7052563750524998
139,0.001490861357843575,0.7067472364103434
140,0.0014802636731517298,0.7082275000834951
141,0.0014754232412338348,0.709702923324729
142,0.0014617790727568124,0.7111647023974857
143,0.0014505169879138475,0.7126152193853996
144,0.001440580670302007,0.7140558000557017
145,0.0014251746910332603,0.715480974746735
146,0.0014067415684472,0.7168877163151822
147,0.0013977967689344061,0.7182855130841166
148,0.001385835092034792,0.7196713481761514
149,0.0013817739763180817,0.7210531221524695
150,0.001370224496891511,0.722423346649361
151,0.0013587717111799712,0.723782118360541
152,0.0013423042392098129,0.7251244225997507
153,0.0013368495412241681,0.7264612721409749
154,0.0013275828197038691,0.7277888549606788
155,0.001315154471632917,0.7291040094323117
156,0.0013011554413964626,0.7304051648737081
157,0.0012977405822602755,0.7317029054559684
158,0.0012913816501648233,0.7329942871061332
159,0.0012785705263310616,0.7342728576324643
160,0.0012718157268695814,0.7355446733593339
161,0.0012628416253342928,0.7368075149846682
162,0.001250915334993934,0.7380584303196621
163,0.001245818720850468,0.7393042490405126
164,0.001238211949820952,0.7405424609903336
165,0.001230466113343558,0.7417729271036771
166,0.0012185532462081585,0.7429914803498853
167,0.001212111150850313,0.7442035915007356
168,0.0011942978035550506,0.7453978893042906
169,0.0011926467604207135,0.7465905360647114
170,0.0011872199261102627,0.7477777559908216
171,0.001176761345189867,0.7489545173360115
172,0.0011635481949951968,0.7501180655310067
173,0.0011553541400126683,0.7512734196710193
174,0.0011422021457320778,0.7524156218167515
175,0.0011371816532961903,0.7535528034700477
176,0.001130723940920557,0.7546835274109682
177,0.0011230248308273913,0.7558065522417956
178,0.00111436797058484,0.7569209202123804
179,0.0011035735674845468,0.758024493779865
180,0.0010935142584234244,0.7591180080382884
181,0.001090062940637055,0.7602080709789255
182,0.0010806871910797348,0.7612887581700053
183,0.0010728284640951931,0.7623615866341005
184,0.0010655848995906843,0.7634271715336911
185,0.0010629986316367905,0.7644901701653279
186,0.001059089044817286,0.7655492592101453
187,0.0010451307158034677,0.7665943899259487
188,0.001034473596451981,0.7676288635224008
189,0.001031555606472647,0.7686604191288734
190,0.0010266432906286694,0.769687062419502
191,0.0010139069003884526,0.7707009693198905
192,0.0010073591523335887,0.7717083284722241
193,0.0010022985528495435,0.7727106270250736
194,0.0009976252981657554,0.7737082523232394
195,0.0009823633537249922,0.7746906156769644
196,0.0009783069693364394,0.7756689226463008
197,0.0009733370226377652,0.7766422596689386
198,0.0009636369625068992,0.7776058966314455
199,0.0009598691165253813,0.7785657657479709
200,0.000957455288241967,0.7795232210362129
201,0.0009541149489569273,0.7804773359851698
202,0.0009423247110368626,0.7814196606962066
203,0.0009359486716116946,0.7823556093678183
204,0.0009333302159765999,0.783288939583795
205,0.0009265339025004923,0.7842154734862955
206,0.0009145282399842608,0.7851300017262798
207,0.0009116890588349533,0.7860416907851148
208,0.0009064732933923968,0.7869481640785072
209,0.0009033616245276101,0.7878515257030348
210,0.0008939542703794613,0.7887454799734143
211,0.0008900007111346066,0.7896354806845489
212,0.0008871342656018813,0.7905226149501507
213,0.0008843144887932656,0.791406929438944
214,0.0008783089392460877,0.7922852383781901
215,0.00086959158153661,0.7931548299597267
216,0.0008661671910308538,0.7940209971507576
217,0.0008622899182250888,0.7948832870689827
218,0.0008592514189882503,0.7957425384879709
219,0.0008546560811725441,0.7965971945691435
220,0.0008495993132322444,0.7974467938823757
221,0.0008458934161143134,0.79829268729849
222,0.0008388544255792583,0.7991315417240693
223,0.0008312260822377842,0.799962767806307
224,0.0008284083080469189,0.8007911761143539
225,0.0008234534045316271,0.8016146295188855
226,0.0008182031784374467,0.8024328326973229
227,0.000812752155835662,0.8032455848531586
228,0.000808803613142542,0.8040543884663011
229,0.0008069909086111428,0.8048613793749122
230,0.0008023877172271514,0.8056637670921394
231,0.0007971929094157831,0.8064609600015552
232,0.0007918131425029884,0.8072527731440582
233,0.000787153638115486,0.8080399267821736
234,0.0007833680085174613,0.808823294790691
235,0.0007793283687791819,0.8096026231594702
236,0.0007772124300006468,0.8103798355894708
237,0.0007754095560306807,0.8111552451455015
238,0.0007705815649104601,0.811925826710412
239,0.0007613469902627146,0.8126871737006748
240,0.0007596732047407086,0.8134468469054155
241,0.0007547217287697599,0.8142015686341852
242,0.0007525954255273416,0.8149541640597125
243,0.0007466043078806191,0.8157007683675932
244,0.0007435619454993728,0.8164443303130926
245,0.0007386550749594653,0.8171829853880521
246,0.000735693957183268,0.8179186793452354
247,0.0007316859752973773,0.8186503653205328
248,0.0007286769680989291,0.8193790422886318
249,0.0007207402420066416,0.8200997825306384
250,0.0007189674518737609,0.8208187499825121
251,0.0007174505608750455,0.8215362005433872
252,0.0007111070847758672,0.822247307628163
253,0.0007099033895494346,0.8229572110177125
254,0.0007083340274843625,0.8236655450451968
255,0.0007037678885990955,0.8243693129337959
256,0.0007006862984564792,0.8250699992322523
257,0.0006989579874263769,0.8257689572196787
258,0.0006927770084911076,0.8264617342281698
259,0.0006908948500784441,0.8271526290782483
260,0.0006903851687712453,0.8278430142470196
261,0.0006860395929460203,0.8285290538399656
262,0.0006834084477721107,0.8292124622877377
263,0.0006795634536959812,0.8298920257414337
264,0.0006777620726662481,0.8305697878141
265,0.0006749826785896712,0.8312447704926896
266,0.0006729084935560017,0.8319176789862457
267,0.0006689673623626401,0.8325866463486084
268,0.0006635426987788499,0.8332501890473872
269,0.0006627265229280609,0.8339129155703153
270,0.000657909211130796,0.8345708247814462
271,0.0006575325190270357,0.8352283573004732
272,0.0006528482350786783,0.8358812055355519
273,0.0006511590958826735,0.8365323646314345
274,0.0006488903355540987,0.8371812549669887
275,0.000648857179667853,0.8378301121466566
276,0.0006440314230601727,0.8384741435697167
277,0.0006380610169936598,0.8391122045867104
278,0.000636217929551707,0.8397484225162621
279,0.0006349341187842993,0.8403833566350465
280,0.0006317475020271141,0.8410151041370736
281,0.0006289902731753266,0.8416440944102489
282,0.0006275517752763743,0.8422716461855253
283,0.0006232845640750625,0.8428949307496003
284,0.0006174951174339258,0.8435124258670342
285,0.0006164233685127138,0.844128849235547
286,0.0006133319183416943,0.8447421811538887
287,0.0006110383171492067,0.8453532194710379
288,0.0006085992051367031,0.8459618186761746
289,0.0006062856919027518,0.8465681043680774
290,0.0006040781119204897,0.8471721824799979
291,0.0005984527528412568,0.8477706352328391
292,0.0005975035460858905,0.848368138778925
293,0.0005934654304244763,0.8489616042093495
294,0.000591380898207612,0.8495529851075572
295,0.0005874913745872913,0.8501404764821444
296,0.0005858271796341829,0.8507263036617786
297,0.0005830395160828975,0.8513093431778614
298,0.0005806500440552724,0.8518899932219167
299,0.0005778730649457325,0.8524678662868624
300,0.0005768820172327596,0.8530447483040952
301,0.0005747910735784868,0.8536195393776737
302,0.0005723809206356406,0.8541919202983093
303,0.0005696167206976403,0.8547615370190069
304,0.0005658471334758785,0.8553273841524828
305,0.0005648326507239,0.8558922168032067
306,0.0005640908753938451,0.8564563076786006
307,0.0005623142739800336,0.8570186219525806
308,0.0005580595909283675,0.857576681543509
309,0.0005549316167677778,0.8581316131602768
310,0.0005540363808309702,0.8586856495411077
311,0.000552221849087358,0.859237871390195
312,0.0005489292103382676,0.8597868006005333
313,0.000547741278714016,0.8603345418792473
314,0.00054575660853429,0.8608802984877816
315,0.0005415038972443188,0.8614218023850259
316,0.0005406340991281664,0.861962436484154
317,0.0005386811460563302,0.8625011176302104
318,0.0005360088696802687,0.8630371264998907
319,0.000534312747582927,0.8635714392474737
320,0.0005312952384857946,0.8641027344859595
321,0.0005284249188916101,0.8646311594048511
322,0.0005248747135945254,0.8651560341184457
323,0.0005221619283626713,0.8656781960468083
324,0.0005208911094464353,0.8661990871562547
325,0.0005196505329856897,0.8667187376892403
326,0.0005171580506969359,0.8672358957399373
327,0.0005147652870808462,0.8677506610270181
328,0.000513727084172914,0.8682643881111911
329,0.0005102140433061521,0.8687746021544973
330,0.0005096952643812753,0.8692842974188786
331,0.0005071610170792412,0.8697914584359578
332,0.0005057063930919907,0.8702971648290498
333,0.0005042723120145216,0.8708014371410644
334,0.0005010730345904302,0.8713025101756549
335,0.0005003004253860136,0.8718028106010409
336,0.0004985314566760791,0.872301342057717
337,0.0004965071996273901,0.8727978492573444
338,0.0004927140592221371,0.8732905633165665
339,0.0004913646506321913,0.8737819279671987
340,0.0004901487322061952,0.8742720766994049
341,0.0004874599222342925,0.8747595366216392
342,0.0004854142653379372,0.8752449508869772
343,0.0004831514741715329,0.8757281023611487
344,0.0004825678622296921,0.8762106702233784
345,0.0004816776082535021,0.8766923478316319
346,0.0004784404369819832,0.8771707882686138
347,0.0004749801175941199,0.877645768386208
348,0.00047317457668541137,0.8781189429628934
349,0.00047025706985121045,0.8785892000327447
350,0.0004694466700608547,0.8790586467028055
351,0.00046882005690006707,0.8795274667597056
352,0.00046602464796188927,0.8799934914076675
353,0.0004652455128940457,0.8804587369205615
354,0.0004637088289432026,0.8809224457495047
355,0.0004608521865970027,0.8813832979361017
356,0.0004607521913521788,0.8818440501274539
357,0.00045793317129857455,0.8823019832987525
